issn_l,citescore_analogo
0923-7534,1.58
0944-1344,6.13
0946-2716,4.8
0925-4005,8.34
0927-7757,5.67
0921-4534,1.64
0945-6317,2.42
0926-6690,6.58
0930-2794,3.12
0926-9959,3.32
0926-860X,3.59
0925-3467,5.59
0921-5107,5.49
0927-7765,5.21
0927-0256,3.97
0931-041X,2.11
0941-4355,1.88
0924-8579,4.01
0944-7113,8.77
0943-1853,1.51
0928-0987,4.45
0925-5273,9.53
0930-7516,1.89
0929-8673,2.57
0937-3462,1.54
0928-0707,5.23
0947-7349,1.68
0930-1038,1.91
0939-4753,3.19
0931-2048,1.48
0939-4451,4.47
0925-1022,1.26
0928-4680,3.33
0946-672X,4.01
0931-2250,2.88
0925-4692,5.04
0926-7220,4.28
0929-6441,0.59
0944-2006,1.46
0959-6526,12.84
0950-0618,9.62
0959-8049,2.81
0953-8984,2.29
0957-4174,7.38
0950-1991,3.57
0953-816X,2.69
0951-4198,1.76
0956-7135,6.95
0950-5423,4.96
0954-6111,2.21
0953-2048,3.3
0959-3330,2.12
0952-8369,1.59
0959-8103,2.56
0954-3899,2.48
0948-6143,2.63
0948-5023,3.35
0957-4530,3.54
0958-0670,2.45
0954-0121,1.33
0951-3590,2.63
0959-4973,2.02
0957-5243,1.36
0954-6928,1.45
0952-3871,2.25
0959-8278,2.6
0958-7578,0.97
0953-7287,6.82
0951-7359,1.42
0959-3985,1.39
0952-8091,0.29
0954-478X,5.32
0959-9851,2.79
0954-0261,2.73
0958-2592,1.39
0959-3543,2.05
0959-9673,1.47
0954-0105,6.31
0959-2709,2.6
0960-894X,2.18
0960-1481,9.9
1007-9327,4.03
0968-0896,3.07
0960-0779,5.94
0966-6362,1.51
0967-5868,1.67
0960-8923,2.75
0962-1067,3.37
0981-9428,5.66
0962-8436,9.17
0961-9534,5.23
0963-8288,2.07
0961-2033,1.95
0969-2126,4.72
0960-3115,3.21
0962-9351,2.36
0973-1482,1.43
0968-0160,1.85
0963-7486,4.03
0960-8931,1.82
0962-1105,3.37
0960-3271,3.36
0965-1748,2.85
0967-3334,2.59
0967-6120,3.57
0965-2299,3.55
0961-5423,0.76
0964-3397,3.54
0997-7546,2.01
0960-3123,2.02
0971-9202,0.47
0972-1525,2.39
0972-124X,0.72
0971-7196,1.14
0969-997X,1.49
0962-8827,0.45
0966-7903,1.01
0972-9062,1.18
0974-0333,1.79
1022-6680,4.34
1029-8479,5.28
1046-6673,0.48
1048-891X,0.58
1049-2275,0.92
1010-6030,3.93
1026-8022,1.64
1043-6618,10.93
1043-4666,3.67
1040-0397,2.38
1052-3057,2.93
1023-3830,4.94
1047-9511,0.8
1051-9815,1.18
1050-7256,6.67
1040-8428,5.66
1042-0533,1.72
1040-6387,1.35
1020-4989,1.71
1027-3719,1.38
1021-7770,14.1
1053-8127,1.49
1040-7278,4.51
1040-872X,2.67
1022-6508,0.98
1015-1621,2.49
1050-6411,2.4
1024-5332,2.03
1023-6198,1.14
1045-1056,2.95
1036-1073,1.97
1015-2008,1.41
1008-9969,0.0
1046-3976,5.2
1054-7738,1.9
1024-8072,3.12
1040-841X,7.45
1026-7999,1.6
1011-2251,0.27
1011-484X,0.35
1064-3745,1.2
1058-4838,5.69
1068-9265,1.7
1059-9495,1.91
1064-8011,2.24
1082-0132,1.3
1071-3581,1.52
1059-910X,3.08
1072-3714,2.87
1059-1311,2.43
1082-6084,1.29
1057-0829,2.28
1055-6656,1.27
1076-1608,1.12
1063-5157,6.15
1060-1325,2.58
1073-6840,1.38
1064-7546,5.65
1084-9521,4.56
1076-1551,7.94
1079-9907,1.68
1080-7039,1.88
1056-6163,0.0
1079-9796,1.98
1072-4133,2.66
1076-6294,1.47
1061-3773,3.27
1063-8652,1.08
1074-9357,2.21
1062-0303,0.92
1080-0549,8.67
1074-7931,1.14
1064-7449,1.0
1066-9817,1.65
1071-412X,0.0
1083-3196,0.75
1064-1955,3.3
1061-3749,0.5
1055-4181,1.29
1064-9506,1.42
1091-8213,0.09
1098-0121,0.0
1175-5326,0.6
1101-1262,0.47
1110-7243,1.14
1099-0682,1.76
1089-7798,3.66
1096-7192,0.72
1095-6433,2.35
1097-0339,0.86
1120-8694,0.48
1120-6721,1.28
1094-7159,0.56
1089-9472,0.9
1096-4959,2.57
1092-7875,1.63
1093-3263,2.61
1099-0062,0.0
1121-8428,2.1
1094-2912,4.35
1129-7298,1.57
1176-9092,3.54
1092-9134,1.48
1172-7047,7.02
1092-8758,2.27
1093-5266,0.77
1134-3478,0.32
1088-1913,3.41
1085-9489,1.76
1098-8823,3.46
1138-7416,2.3
1175-3277,3.81
1138-1728,0.29
1087-1640,1.73
1130-1406,1.63
1091-367X,1.32
1135-3848,0.43
1139-9287,1.9
1137-2729,0.07
1134-4539,0.07
1201-9712,2.47
1179-3155,0.6
1353-8020,1.64
1319-8025,3.71
1328-8067,0.52
1290-0729,5.21
1313-2970,1.23
1341-8076,1.35
1320-5358,1.51
1342-937X,5.98
1356-1294,1.98
1323-1650,1.99
1176-9106,3.31
1286-4579,3.69
1347-8613,2.86
1279-7707,4.92
1219-4956,3.91
1230-2821,1.45
1322-7114,2.18
1179-1411,1.46
1354-750X,2.34
1350-4622,3.93
1319-2442,0.11
1226-2579,3.07
1319-6103,5.73
1229-845X,1.86
1350-6129,3.47
1343-8786,0.33
1324-4272,1.28
1309-0380,0.96
1307-699X,0.96
1300-7734,0.4
1179-5549,2.9
1280-9659,0.98
1177-9322,2.85
1178-7058,2.04
1331-1441,1.49
1179-1543,6.32
1179-5735,2.52
1177-9314,0.0
1383-5866,9.43
1361-6137,7.19
1388-6150,4.3
1364-8535,7.63
1368-5031,0.83
1387-7003,6.07
1389-9457,1.28
1367-2630,3.03
1387-2877,3.0
1381-6128,2.74
1364-5072,2.97
1387-585X,4.64
1368-9800,2.73
1388-0764,3.95
1388-2481,4.53
1386-6532,3.41
1362-4393,1.81
1369-703X,3.66
1364-5021,2.5
1364-727X,2.22
1383-5718,2.52
1382-6689,3.64
1383-5769,1.53
1360-8592,1.45
1360-7863,2.32
1381-1177,0.0
1398-2273,1.67
1381-1991,3.79
1359-5237,0.98
1389-9600,2.42
1358-2267,1.49
1385-2256,6.7
1362-0436,3.25
1409-4258,0.95
1389-2029,7.05
1363-8491,1.39
1367-5567,5.79
1405-9436,0.23
1409-0724,0.35
1409-4568,0.77
1413-8123,1.05
1413-8670,0.18
1414-3283,0.82
1413-7054,1.28
1413-3555,0.77
1413-9596,0.33
1413-7895,0.13
1413-2478,0.39
1413-7852,0.52
1413-4152,0.57
1413-7372,0.37
1414-381X,1.25
1413-8557,0.33
1414-3984,0.39
1413-389X,0.0
1413-0939,0.02
1413-8271,0.27
1413-9936,0.84
1413-294X,2.02
1414-0543,0.86
1413-6538,0.68
1413-9855,0.26
1414-5138,0.11
1414-462X,0.65
1413-3482,0.51
1414-4077,0.42
1414-4980,1.15
1414-512X,0.16
1414-3518,0.12
1413-8638,0.26
1414-4190,0.03
1413-7321,0.12
1414-4425,0.47
1413-0416,0.05
1413-3342,0.0
1413-3024,0.12
1413-4063,0.19
1413-2087,0.0
1414-3925,0.21
1413-1498,0.03
1414-7327,0.0
1415-4366,1.3
1415-4757,1.39
1414-8536,0.35
1415-790X,0.92
1414-8145,0.49
1414-9893,0.4
1415-4714,0.1
1415-5273,0.94
1415-8264,0.19
1414-526X,0.71
1415-076X,0.27
1414-5731,0.09
1414-753X,0.4
1415-4676,0.07
1414-7564,0.06
1415-0980,0.75
1415-2843,0.13
1415-7128,0.16
1415-2177,0.0
1414-7416,0.27
1415-8167,0.04
1415-1928,0.09
1415-7713,0.31
1415-8175,0.15
1415-2762,0.26
1414-8862,1.37
1415-3580,0.15
1415-2150,0.35
1415-6938,0.21
1415-7314,0.12
1414-5235,0.24
1414-6312,0.1
1414-722X,0.23
1415-5796,0.0
1414-7165,0.06
1414-6975,0.92
1415-5893,0.14
1415-398X,0.0
1415-7977,0.0
1422-0067,6.57
1424-8220,5.35
1420-3049,6.04
1431-9276,0.53
1462-0324,2.31
1434-6044,4.89
1433-9277,0.3
1452-3981,5.56
1432-7643,2.21
1424-8247,5.85
1440-2440,2.1
1432-2234,1.9
1432-8488,3.39
1432-6981,4.0
1424-2818,2.21
1431-6730,2.64
1444-1586,1.7
1436-6207,3.7
1442-9985,1.28
1432-8917,2.17
1449-1907,3.65
1462-2416,1.87
1420-4096,1.86
1438-4639,3.64
1432-9417,1.68
1438-793X,3.57
1415-8876,0.61
1447-073X,1.31
1415-9805,0.22
1415-8426,0.19
1415-9945,0.04
1415-9104,0.07
1415-8973,0.04
1450-104X,1.4
1415-9848,0.39
1435-5930,3.16
1432-4385,1.45
1415-837X,0.0
1428-0604,0.14
1450-5959,0.46
1463-9076,3.49
1471-2458,4.59
1471-2407,3.81
1471-2164,4.32
1472-6963,3.76
1471-2334,3.02
1470-1626,3.82
1471-2474,2.94
1476-4954,1.73
1473-3099,11.58
1471-2393,2.81
1472-6831,3.66
1471-2431,2.33
1471-2180,4.13
1473-2130,3.11
1471-2369,2.82
1473-0502,0.8
1467-3037,4.4
1474-5151,1.49
1476-511X,7.86
1477-7525,3.2
1471-4922,3.4
1473-7140,2.78
1476-9271,2.89
1472-9792,2.32
1467-3010,3.49
1476-4431,1.11
1473-7159,4.45
1472-684X,3.61
1466-853X,2.14
1477-7835,4.8
1473-3145,1.77
1464-7141,4.78
1466-0970,0.83
