source,issn,n,classe,sinais_curadoria,doaj,scimago,qualis_estilo,apc,retratacoes,citacao_media
Educação e Pesquisa,15179702,8,Indexada,3,True,True,True,False,0,3.5
European Journal of Public Health,11011262,8,Indexada,3,True,True,True,True,0,0.2
Journal of Inorganic Biochemistry,01620134,8,Indexada,2,False,True,True,True,0,32.5
Journal of Obstetrics and Gynaecology,01443615,8,Indexada,3,True,True,True,True,0,6.2
Journal of South American Earth Sciences,08959811,8,Indexada,2,False,True,True,True,0,16.8
Materials Chemistry and Physics,02540584,8,Indexada,2,False,True,True,True,0,12.8
Nutrition,08999007,8,Indexada,2,False,True,True,True,0,14.2
Paidéia (Ribeirão Preto),0103863X,8,Indexada,3,True,True,True,False,0,6.4
Parasitology,00311820,8,Indexada,3,True,True,True,True,0,22.6
PeerJ,21678359,8,Indexada,3,True,True,True,True,0,19.9
Perceptual and Motor Skills,00315125,8,Indexada,2,False,True,True,True,0,4.8
Psicologia & Sociedade,01027182,8,Indexada,3,True,True,True,False,0,9.9
Revista Iberoamericana de Educación,10226508,8,Indexada,1,True,False,False,False,0,1.9
Revista do Hospital das Clínicas,00418781,8,Indexada,1,False,False,True,False,0,8.5
The Science of The Total Environment,00489697,8,Indexada,2,False,True,True,True,0,31.5
Tumori Journal,03008916,8,Indexada,2,False,True,True,True,0,15.8
Applied Physiology Nutrition and Metabolism,17155312,7,Indexada,2,False,True,True,False,0,13.0
Archives of Endocrinology and Metabolism,23593997,7,Indexada,3,True,True,True,False,0,9.7
Brazilian Journal of Chemical Engineering,01046632,7,Indexada,2,False,True,True,True,0,6.3
Brazilian Journal of Otorhinolaryngology,18088686,7,Indexada,3,True,True,True,True,0,10.6
Comparative Biochemistry and Physiology Part B Biochemistry and Molecular Biology,10964959,7,Indexada,2,False,True,True,True,0,8.6
Cultura de los Cuidados,11381728,7,Indexada,3,True,True,True,False,0,2.6
Educação (UFSM),01019031,7,Indexada,1,True,False,False,False,0,2.3
Educação em Foco,15193322,7,Indexada,1,True,False,False,False,0,0.6
Estudos Interdisciplinares em Psicologia,22366407,7,Indexada,1,True,False,False,False,0,1.7
IEEE Access,21693536,7,Indexada,3,True,True,True,True,0,11.9
International Immunopharmacology,15675769,7,Indexada,2,False,True,True,True,0,21.7
Jornal Brasileiro de Pneumologia,18063713,7,Indexada,3,True,True,True,False,0,10.1
Journal of Clinical Nursing,09621067,7,Indexada,2,False,True,True,True,0,15.4
Journal of Clinical Ultrasound,00912751,7,Indexada,2,False,True,True,True,0,8.1
Journal of Molecular Structure,00222860,7,Indexada,2,False,True,True,True,0,11.4
MOTRICIDADES Revista da Sociedade de Pesquisa Qualitativa em Motricidade Humana,25946463,7,Indexada,1,True,False,False,False,0,1.0
Medicine & Science in Sports & Exercise,01959131,7,Indexada,2,False,True,True,False,0,16.7
Microorganisms,20762607,7,Indexada,3,True,True,True,True,0,6.7
Multiple Sclerosis and Related Disorders,22110348,7,Indexada,2,False,True,True,True,0,18.1
Nutrire,15198928,7,Indexada,2,False,True,True,True,0,2.4
Pharmaceutics,19994923,7,Indexada,3,True,True,True,True,0,6.3
Physical Chemistry Chemical Physics,14639076,7,Indexada,2,False,True,True,False,0,12.9
Physics Letters A,03759601,7,Indexada,2,False,True,True,True,0,2.9
Psico,01035371,7,Indexada,1,True,False,False,False,0,4.7
Psicologia Escolar e Educacional,14138557,7,Indexada,3,True,True,True,False,0,5.4
Revista Brasileira de Cancerologia,00347116,7,Indexada,1,True,False,False,False,0,1.6
Revista Brasileira de Educação Especial,14136538,7,Indexada,3,True,True,True,False,0,13.6
Revista Brasileira de Engenharia Agrícola e Ambiental,14154366,7,Indexada,3,True,True,True,True,0,7.3
Revista Brasileira de Estudos Pedagógicos,00347183,7,Indexada,1,True,False,False,False,0,7.1
Revista Brasileira de Saúde Ocupacional,03037657,7,Indexada,3,True,True,True,False,0,11.0
Revista de Ensino de Biologia da SBEnBio,19821867,7,Indexada,1,True,False,False,False,0,9.4
Revista de Ensino de Ciências e Matemática,2179426X,7,Indexada,1,True,False,False,False,0,0.6
Saúde em Debate,01031104,7,Indexada,1,True,False,False,False,0,11.6
Scientia Plena,18082793,7,Indexada,1,True,False,False,True,0,0.7
Semina Ciências Agrárias,1676546X,7,Indexada,3,True,True,True,True,0,5.3
The Journal of Physical Chemistry B,15205207,7,Indexada,2,False,True,True,False,0,10.0
Tissue and Cell,00408166,7,Indexada,2,False,True,True,True,0,4.6
Topics in Stroke Rehabilitation,10749357,7,Indexada,2,False,True,True,False,0,12.1
Toxicon,00410101,7,Indexada,2,False,True,True,True,0,15.9
Applied Surface Science,01694332,6,Indexada,2,False,True,True,True,0,49.3
Archiv für Pathologische Anatomie und Physiologie und für Klinische Medicin,09456317,6,Indexada,2,False,True,True,True,0,22.7
Beilstein Journal of Nanotechnology,21904286,6,Indexada,3,True,True,True,False,0,4.0
Biomedicines,22279059,6,Indexada,3,True,True,True,True,0,4.0
Cadernos de História da Educação,18073859,6,Indexada,1,True,False,False,False,0,0.0
Ciência & Educação (Bauru),15167313,6,Indexada,1,True,False,False,False,0,4.5
Clinical Medicine Insights Oncology,11795549,6,Indexada,3,True,True,True,True,0,15.7
Clinical Nutrition ESPEN,24054577,6,Indexada,2,False,True,True,True,0,5.0
Current Medicinal Chemistry,09298673,6,Indexada,2,False,True,True,False,0,7.8
DEMETRA Alimentação Nutrição & Saúde,2238913X,6,Indexada,1,True,False,False,False,0,14.8
Educação,15179869,6,Indexada,1,True,False,False,False,0,1.0
Electrochimica Acta,00134686,6,Indexada,2,False,True,True,True,0,20.8
Emergent Materials,25225731,6,Indexada,2,False,True,True,True,0,3.5
Engenharia Agrícola,01006916,6,Indexada,3,True,True,True,True,0,11.2
Experimental Gerontology,05315565,6,Indexada,3,True,True,True,True,0,26.7
Frontiers in Physiology,1664042X,6,Indexada,3,True,True,True,True,0,24.7
Genome Announcements,21698287,6,Indexada,1,False,False,True,False,0,5.5
Global Journal of Health Science,19169736,6,Indexada,1,False,False,True,False,0,0.2
Holos,15181634,6,Indexada,1,True,False,False,False,0,0.5
Immunological Investigations,08820139,6,Indexada,2,False,True,True,False,0,51.3
Immunology Letters,01652478,6,Indexada,2,False,True,True,True,0,14.0
International Journal of Molecular Sciences,14220067,6,Indexada,2,False,True,True,True,0,12.8
International Journal of Nursing Practice,13227114,6,Indexada,2,False,True,True,True,0,12.5
International journal of exercise science,1939795X,6,Indexada,3,True,True,True,False,0,5.3
Journal of Fungi,2309608X,6,Indexada,3,True,True,True,True,0,18.5
Journal of Immunology Research,23147156,6,Indexada,3,True,True,True,True,0,19.7
Journal of Motor Behavior,00222895,6,Indexada,2,False,True,True,False,0,3.3
Microbial Pathogenesis,08824010,6,Indexada,2,False,True,True,True,0,10.2
Olhar de Professor,15185648,6,Indexada,1,True,False,False,False,0,0.0
PHENOMENOLOGICAL STUDIES - Revista da Abordagem Gestáltica,18096867,6,Indexada,2,False,True,True,False,0,1.2
Revista Brasileira de Cirurgia Plástica,19835175,6,Indexada,3,True,True,True,False,0,2.2
Revista Brasileira de Educação do Campo,25254863,6,Indexada,1,True,False,False,False,0,3.7
Revista Brasileira de Geografia Física,19842295,6,Indexada,2,False,True,True,True,0,1.5
Revista Brasileira de Pesquisa em Educação em Ciências,18065104,6,Indexada,1,True,False,False,False,0,3.7
Revista Diálogo Educacional,15183483,6,Indexada,1,True,False,False,False,0,10.2
Revista Políticas Públicas & Cidades,23591552,6,Indexada,1,True,False,False,True,0,0.7
Revista Portuguesa de Pneumologia,08732159,6,Indexada,2,True,False,True,False,0,7.8
